customer_id,customer_region,customer_age_band,customer_tenure_months,preferred_language,accessibility_support_flag
CUST0191220,London,45-54,19,English,0
CUST0181408,North West,55-64,59,English,0
CUST0066354,West Midlands,25-34,46,Polish,0
CUST0199529,London,35-44,7,English,0
CUST0094153,Wales,25-34,77,English,0
CUST0027174,West Midlands,25-34,44,English,0
CUST0106554,London,45-54,18,English,0
CUST0090909,West Midlands,45-54,38,English,0
CUST0193812,North West,35-44,23,English,0
CUST0185796,London,55-64,37,English,0
CUST0075878,South East,55-64,19,English,0
CUST0003084,West Midlands,35-44,39,English,0
CUST0077772,North West,18-24,17,English,0
CUST0078428,North West,35-44,16,English,0
CUST0083675,West Midlands,18-24,47,English,0
CUST0027685,London,25-34,64,English,0
CUST0006817,Wales,25-34,24,English,0
CUST0093624,Scotland,45-54,17,Urdu,0
CUST0004242,London,18-24,74,English,0
CUST0163410,North West,18-24,17,English,0
CUST0129871,London,25-34,24,English,0
CUST0105892,South East,25-34,48,English,0
CUST0123003,South West,55-64,88,English,1
CUST0110762,South East,35-44,16,English,0
CUST0079461,Scotland,35-44,42,English,0
CUST0098375,London,25-34,50,English,0
CUST0089146,Wales,18-24,29,English,0
CUST0137064,Scotland,18-24,14,English,0
CUST0116449,London,45-54,105,English,0
CUST0057623,London,55-64,35,English,0
CUST0003099,London,18-24,53,English,0
CUST0157416,South East,25-34,66,English,0
CUST0020881,London,45-54,27,English,0
CUST0138958,South East,35-44,15,English,0
CUST0145399,London,25-34,8,English,0
CUST0074485,Wales,55-64,95,English,0
CUST0038031,West Midlands,35-44,13,English,0
CUST0037638,North West,55-64,98,English,0
CUST0019655,South East,35-44,39,English,0
CUST0131536,South East,35-44,30,English,0
CUST0111514,East Midlands,35-44,4,Romanian,0
CUST0186071,Yorkshire,18-24,36,English,0
CUST0141582,Wales,65+,18,English,0
CUST0071951,Yorkshire,55-64,88,English,0
CUST0146280,Yorkshire,45-54,51,English,0
CUST0067005,Wales,45-54,37,Polish,0
CUST0041982,North West,35-44,17,Urdu,1
CUST0195437,North West,35-44,1,English,0
CUST0121384,West Midlands,55-64,44,English,0
CUST0192634,London,25-34,13,English,0
CUST0179878,South West,35-44,46,English,0
CUST0029987,London,45-54,7,English,0
CUST0137830,South East,65+,3,English,0
CUST0167689,London,35-44,14,English,0
CUST0085874,East Midlands,45-54,7,English,0
CUST0086399,South East,25-34,18,English,0
CUST0105770,Scotland,65+,41,English,0
CUST0076416,South East,45-54,26,English,0
CUST0168818,South East,35-44,40,English,0
CUST0150028,Scotland,55-64,43,English,0
CUST0063123,London,65+,67,English,0
CUST0040188,North West,45-54,26,English,0
CUST0096595,South East,25-34,33,English,0
CUST0077073,South East,45-54,21,English,0
CUST0187874,South East,25-34,66,English,0
CUST0174000,Yorkshire,35-44,37,English,1
CUST0120524,London,25-34,23,English,0
CUST0055376,London,35-44,49,English,0
CUST0177245,London,18-24,81,English,0
CUST0100808,South West,35-44,21,English,0
CUST0063726,Northern Ireland,45-54,19,English,0
CUST0188832,Yorkshire,25-34,32,English,0
CUST0125025,Yorkshire,25-34,27,English,0
CUST0128582,Wales,55-64,89,English,0
CUST0040114,West Midlands,25-34,80,English,0
CUST0124614,South West,45-54,83,English,0
CUST0155344,East Midlands,55-64,78,English,0
CUST0020198,West Midlands,18-24,71,English,0
CUST0000852,West Midlands,65+,22,English,0
CUST0128314,London,35-44,45,English,0
CUST0104968,East Midlands,35-44,25,English,0
CUST0146294,London,35-44,42,Urdu,0
CUST0129775,South West,55-64,9,English,0
CUST0034673,Scotland,45-54,45,English,0
CUST0148255,South East,25-34,15,English,0
CUST0025377,North West,45-54,28,English,0
CUST0039789,South East,25-34,29,English,0
CUST0021245,West Midlands,45-54,25,English,0
CUST0039810,Northern Ireland,35-44,16,English,0
CUST0183499,Wales,35-44,43,English,0
CUST0060742,London,55-64,13,English,1
CUST0090350,London,55-64,72,English,0
CUST0196040,South East,25-34,16,English,0
CUST0091316,Northern Ireland,25-34,25,English,0
CUST0149402,Yorkshire,55-64,17,English,0
CUST0029989,London,45-54,54,Punjabi,0
CUST0066261,South East,45-54,72,Polish,0
CUST0173275,North West,65+,7,English,0
CUST0043867,South East,25-34,7,Punjabi,0
CUST0035522,South East,45-54,48,English,0
CUST0141662,London,55-64,7,English,0
CUST0139382,South East,65+,44,English,0
CUST0112017,South East,25-34,6,English,0
CUST0172585,North West,45-54,10,English,0
CUST0068972,London,45-54,24,English,0
CUST0101733,South East,18-24,39,English,0
CUST0172832,North West,25-34,41,English,0
CUST0140319,London,45-54,74,English,0
CUST0122556,Yorkshire,18-24,54,English,0
CUST0126129,South East,45-54,52,English,0
CUST0041555,Wales,55-64,24,English,0
CUST0149905,South West,25-34,10,English,0
CUST0009026,London,45-54,33,English,0
CUST0044673,South East,35-44,36,Punjabi,0
CUST0043238,London,45-54,13,English,0
CUST0105799,North West,55-64,54,English,0
CUST0084008,North West,25-34,19,English,0
CUST0188086,North West,35-44,7,English,0
CUST0011640,London,45-54,58,English,1
CUST0089154,London,35-44,52,English,0
CUST0132888,Northern Ireland,55-64,7,English,0
CUST0183964,North West,65+,22,English,0
CUST0033385,East Midlands,45-54,35,Urdu,0
CUST0048537,West Midlands,35-44,1,English,0
CUST0036000,North West,25-34,25,Polish,0
CUST0100228,North West,55-64,30,English,0
CUST0011758,South West,35-44,21,English,0
CUST0091943,Wales,35-44,28,English,0
CUST0136050,South West,35-44,8,English,0
CUST0062406,Scotland,35-44,32,English,0
CUST0192780,Scotland,25-34,31,English,0
CUST0041171,North West,35-44,54,English,0
CUST0143978,Northern Ireland,55-64,38,Polish,0
CUST0061558,Northern Ireland,45-54,29,Welsh,0
CUST0127985,North West,35-44,56,English,0
CUST0044198,Yorkshire,18-24,20,English,0
CUST0178165,Northern Ireland,25-34,34,English,1
CUST0139501,Wales,55-64,20,English,0
CUST0089150,Northern Ireland,35-44,81,English,0
CUST0049756,Northern Ireland,55-64,14,English,0
CUST0136724,London,25-34,46,English,0
CUST0151614,Yorkshire,35-44,13,English,0
CUST0065843,London,45-54,23,English,0
CUST0162490,West Midlands,35-44,13,English,0
CUST0126336,North West,65+,24,English,0
CUST0080792,London,55-64,12,English,0
CUST0099540,South West,25-34,29,English,0
CUST0171710,Yorkshire,25-34,29,English,0
CUST0055533,London,25-34,25,English,0
CUST0060906,West Midlands,35-44,108,English,0
CUST0101147,London,65+,53,English,0
CUST0122625,Northern Ireland,25-34,4,Welsh,0
CUST0055854,South West,25-34,40,English,0
CUST0115162,London,18-24,11,English,0
CUST0111722,South East,25-34,3,English,0
CUST0045979,Northern Ireland,35-44,50,English,0
CUST0073684,Wales,45-54,23,English,0
CUST0187406,South East,35-44,4,English,0
CUST0027310,South West,65+,23,English,0
CUST0112940,South West,45-54,64,English,0
CUST0094132,West Midlands,45-54,32,English,0
CUST0029758,Scotland,25-34,12,English,0
CUST0184127,Scotland,25-34,32,English,0
CUST0178087,North West,25-34,27,English,0
CUST0186325,Wales,65+,31,English,0
CUST0015606,Yorkshire,25-34,15,English,0
CUST0021499,Yorkshire,45-54,84,English,0
CUST0133277,South East,25-34,28,English,0
CUST0063108,London,35-44,17,English,0
CUST0030544,Wales,35-44,9,English,0
CUST0175269,East Midlands,45-54,17,Polish,0
CUST0148835,South East,55-64,9,English,0
CUST0093490,London,35-44,14,English,0
CUST0177359,South West,55-64,35,English,0
CUST0054479,London,35-44,16,English,0
CUST0124747,South West,45-54,12,English,0
CUST0101314,Wales,18-24,46,English,0
CUST0048327,North West,18-24,31,Punjabi,0
CUST0191628,Northern Ireland,35-44,30,English,0
CUST0100197,South West,18-24,86,English,0
CUST0117727,South East,55-64,47,English,0
CUST0037691,London,45-54,32,English,0
CUST0153802,London,18-24,32,English,0
CUST0090841,Northern Ireland,25-34,13,English,0
CUST0160766,London,45-54,37,English,0
CUST0152063,London,25-34,13,English,0
CUST0131989,West Midlands,45-54,40,English,0
CUST0144521,Scotland,25-34,42,English,0
CUST0173774,Scotland,25-34,41,English,0
CUST0158105,South East,45-54,50,English,0
CUST0038494,South East,55-64,117,English,0
CUST0115903,West Midlands,55-64,19,English,0
CUST0180879,Scotland,35-44,21,English,0
CUST0185954,South West,25-34,44,English,0
CUST0122129,Northern Ireland,55-64,29,English,0
CUST0198913,South East,25-34,16,Welsh,0
CUST0133091,West Midlands,45-54,20,English,0
CUST0033332,North West,25-34,13,English,0
CUST0089498,London,25-34,36,English,0
CUST0079140,South East,65+,78,English,0
CUST0071235,Wales,25-34,115,English,0
CUST0135455,North West,25-34,28,English,0
CUST0020693,Northern Ireland,45-54,24,English,0
CUST0092122,South East,35-44,13,English,0
CUST0188125,East Midlands,55-64,17,English,0
CUST0022377,North West,45-54,70,English,0
CUST0159224,Yorkshire,45-54,82,English,0
CUST0031442,West Midlands,35-44,26,English,0
CUST0138460,North West,45-54,40,English,0
CUST0060193,South East,55-64,11,English,0
CUST0051403,South East,55-64,13,English,0
CUST0048222,South East,25-34,39,English,0
CUST0042717,North West,35-44,114,English,0
CUST0179601,South West,35-44,14,English,0
CUST0087325,West Midlands,45-54,19,English,0
CUST0160142,South East,45-54,12,English,0
CUST0080392,South East,35-44,109,English,0
CUST0163213,South West,35-44,20,English,0
CUST0057715,South East,65+,39,English,0
CUST0135105,London,35-44,47,Punjabi,0
CUST0171767,Northern Ireland,18-24,49,English,0
CUST0159004,West Midlands,25-34,37,English,0
CUST0118906,Wales,35-44,11,English,0
CUST0114945,Yorkshire,65+,93,English,0
CUST0160809,South East,25-34,39,English,0
CUST0095749,North West,35-44,15,English,0
CUST0186097,Yorkshire,65+,15,English,0
CUST0005005,Yorkshire,25-34,27,English,0
CUST0134439,West Midlands,65+,30,English,0
CUST0159649,East Midlands,55-64,26,English,0
CUST0124605,London,35-44,3,English,0
CUST0070931,Yorkshire,45-54,32,English,0
CUST0054695,Yorkshire,65+,33,English,1
CUST0032815,South East,35-44,22,English,0
CUST0006274,South West,55-64,38,Urdu,0
CUST0056942,West Midlands,55-64,31,English,0
CUST0050066,London,25-34,43,English,0
CUST0075881,East Midlands,55-64,141,English,0
CUST0028367,South East,25-34,35,English,0
CUST0093797,Yorkshire,35-44,108,English,0
CUST0081992,South East,45-54,41,English,0
CUST0031783,Wales,45-54,16,English,0
CUST0151599,North West,65+,28,Romanian,0
CUST0159940,North West,25-34,7,English,0
CUST0006490,West Midlands,35-44,1,English,0
CUST0165979,London,45-54,3,Urdu,0
CUST0047856,East Midlands,25-34,19,Punjabi,0
CUST0056950,Wales,25-34,18,English,0
CUST0149565,Yorkshire,25-34,48,English,0
CUST0036003,South East,45-54,26,English,0
CUST0031409,North West,55-64,40,English,1
CUST0123888,West Midlands,55-64,13,English,0
CUST0056284,West Midlands,55-64,50,English,0
CUST0087873,West Midlands,35-44,22,English,0
CUST0188996,,45-54,24,English,0
CUST0169794,London,45-54,74,English,0
CUST0023790,London,55-64,30,English,0
CUST0173141,East Midlands,35-44,9,English,0
CUST0137170,West Midlands,65+,26,English,0
CUST0089577,South West,18-24,28,English,0
CUST0014715,South East,65+,118,English,0
CUST0004450,South East,65+,33,English,0
CUST0026682,North West,45-54,7,English,0
CUST0041980,South East,25-34,93,English,0
CUST0183748,North West,55-64,26,English,0
CUST0167101,North West,35-44,24,English,0
CUST0051879,,55-64,18,English,0
CUST0086035,Yorkshire,65+,20,English,0
CUST0067965,,35-44,27,Urdu,0
CUST0007815,East Midlands,55-64,27,English,0
CUST0009539,Wales,55-64,37,English,0
CUST0128956,West Midlands,25-34,20,Welsh,0
CUST0142292,London,65+,53,Polish,0
CUST0065841,North West,25-34,23,English,0
CUST0092290,South West,35-44,43,English,0
CUST0012591,North West,65+,15,English,0
CUST0190181,London,35-44,11,English,0
CUST0022356,North West,35-44,23,English,0
CUST0100219,London,25-34,35,English,0
CUST0061003,South West,35-44,60,English,0
CUST0073388,London,35-44,2,English,0
CUST0156912,South West,35-44,24,English,0
CUST0021718,South West,45-54,12,English,0
CUST0134578,North West,45-54,41,English,0
CUST0100554,Yorkshire,55-64,22,English,0
CUST0057966,Northern Ireland,55-64,48,English,0
CUST0030764,London,25-34,26,English,0
CUST0124474,Yorkshire,45-54,72,English,0
CUST0069775,South East,45-54,37,English,0
CUST0132136,South East,45-54,33,English,0
CUST0121844,East Midlands,18-24,30,English,0
CUST0074933,West Midlands,55-64,48,Polish,0
CUST0107796,North West,18-24,39,Polish,0
CUST0022984,South East,55-64,20,English,1
CUST0074649,Wales,45-54,41,English,0
CUST0196211,Wales,55-64,12,English,0
CUST0020332,Wales,25-34,15,English,0
CUST0110773,South West,25-34,48,English,0
CUST0004063,North West,45-54,15,English,1
CUST0113003,North West,45-54,18,English,0
CUST0070532,East Midlands,25-34,13,English,0
CUST0102432,East Midlands,45-54,22,English,0
CUST0147081,Northern Ireland,35-44,5,Polish,0
CUST0160817,London,45-54,21,English,0
CUST0152690,Yorkshire,18-24,96,English,0
CUST0138295,North West,45-54,19,English,0
CUST0055905,East Midlands,35-44,42,English,0
CUST0148140,Scotland,25-34,30,English,0
CUST0047324,West Midlands,25-34,13,English,0
CUST0120526,Wales,45-54,71,Urdu,0
CUST0189147,London,35-44,7,English,0
CUST0049977,North West,25-34,24,English,0
CUST0117724,South West,45-54,29,English,0
CUST0008392,Yorkshire,25-34,38,English,1
CUST0079170,Scotland,45-54,10,English,0
CUST0012686,West Midlands,25-34,27,English,0
CUST0084159,Yorkshire,25-34,73,English,0
CUST0195444,North West,55-64,5,English,0
CUST0060164,North West,45-54,6,English,0
CUST0159763,South West,55-64,12,English,0
CUST0182577,Yorkshire,45-54,98,English,0
CUST0189386,Northern Ireland,65+,10,English,0
CUST0145695,London,35-44,16,English,0
CUST0093119,Scotland,25-34,32,English,0
CUST0081715,North West,45-54,40,English,0
CUST0092870,Wales,35-44,115,English,0
CUST0013254,London,25-34,37,English,0
CUST0128374,East Midlands,35-44,28,English,0
CUST0042441,North West,35-44,25,English,0
CUST0009117,North West,55-64,12,English,0
CUST0186255,London,45-54,14,English,0
CUST0006375,North West,65+,6,English,0
CUST0124300,West Midlands,45-54,5,English,0
CUST0052408,East Midlands,45-54,29,English,0
CUST0065447,North West,35-44,21,English,0
CUST0006722,South West,65+,59,English,0
CUST0008447,Yorkshire,45-54,43,English,0
CUST0142749,Scotland,65+,49,English,0
CUST0152146,East Midlands,55-64,13,English,0
CUST0188257,South East,65+,22,English,0
CUST0140692,London,45-54,11,English,0
CUST0106996,South West,25-34,28,English,0
CUST0162600,South East,25-34,38,Urdu,1
CUST0089016,London,25-34,8,English,0
CUST0063630,Wales,18-24,63,English,0
CUST0074784,Yorkshire,25-34,4,English,0
CUST0119304,Wales,35-44,103,English,0
CUST0095084,,35-44,60,English,0
CUST0157715,Wales,55-64,51,English,0
CUST0051890,Northern Ireland,65+,15,English,0
CUST0117967,North West,55-64,19,English,0
CUST0077897,London,45-54,6,Punjabi,0
CUST0184590,Yorkshire,35-44,54,English,0
CUST0000901,Wales,18-24,26,English,0
CUST0177329,East Midlands,25-34,64,English,0
CUST0086019,London,35-44,38,English,0
CUST0072496,South West,25-34,52,English,0
CUST0074779,South West,65+,32,English,0
CUST0004723,West Midlands,25-34,50,English,0
CUST0055773,North West,18-24,103,English,0
CUST0102437,Yorkshire,55-64,31,Urdu,0
CUST0120763,South East,25-34,12,English,0
CUST0067574,Scotland,45-54,11,English,0
CUST0194972,North West,55-64,23,English,0
CUST0063514,South West,45-54,30,English,0
CUST0002474,Wales,35-44,44,English,0
CUST0017003,West Midlands,25-34,17,English,0
CUST0095946,Yorkshire,45-54,20,English,0
CUST0078400,South East,35-44,45,English,0
CUST0171233,Wales,35-44,7,English,0
CUST0067466,South East,25-34,47,English,0
CUST0019662,South East,45-54,27,English,0
CUST0093743,South East,45-54,36,English,0
CUST0069651,Yorkshire,25-34,6,English,0
CUST0124929,North West,55-64,23,English,0
CUST0138568,South East,35-44,18,English,0
CUST0071964,Wales,18-24,12,English,0
CUST0097264,North West,65+,35,Welsh,0
CUST0097550,North West,65+,17,Urdu,0
CUST0000782,South East,45-54,51,English,0
CUST0031377,Scotland,25-34,30,English,1
CUST0004012,Yorkshire,25-34,14,English,0
CUST0078839,South West,25-34,106,English,0
CUST0070332,Wales,25-34,11,English,0
CUST0103639,West Midlands,55-64,10,Polish,0
CUST0163024,London,25-34,29,English,0
CUST0071659,West Midlands,65+,28,English,0
CUST0004231,Scotland,35-44,22,English,0
CUST0043031,North West,35-44,11,English,0
CUST0194278,Scotland,35-44,25,Welsh,0
CUST0135839,South East,45-54,27,English,0
CUST0080300,North West,35-44,6,English,0
CUST0135397,Scotland,25-34,22,English,0
CUST0032582,Wales,25-34,34,English,1
CUST0172636,Yorkshire,18-24,62,English,0
CUST0023814,East Midlands,45-54,4,English,0
CUST0108342,London,35-44,31,English,0
CUST0056528,East Midlands,35-44,43,English,0
CUST0146683,West Midlands,55-64,25,English,1
CUST0154515,Yorkshire,65+,24,English,0
CUST0067838,West Midlands,35-44,19,English,0
CUST0126075,Northern Ireland,55-64,24,English,0
CUST0187405,London,18-24,21,English,0
CUST0032825,Wales,35-44,56,English,0
CUST0122382,London,45-54,22,English,0
CUST0032992,South East,25-34,7,English,0
CUST0087219,South West,18-24,18,English,0
CUST0008657,Northern Ireland,45-54,57,English,0
CUST0023359,North West,65+,12,English,0
CUST0147962,London,35-44,32,English,0
CUST0149541,North West,65+,25,English,0
CUST0171118,London,25-34,72,English,0
CUST0053940,London,25-34,12,English,0
CUST0064189,South East,45-54,37,English,0
CUST0092447,East Midlands,25-34,27,Welsh,0
CUST0153532,South East,18-24,14,English,0
CUST0197907,Northern Ireland,65+,13,English,0
CUST0198862,London,45-54,69,English,0
CUST0012708,East Midlands,25-34,3,English,0
CUST0171960,Northern Ireland,25-34,27,English,0
CUST0063502,London,45-54,21,English,0
CUST0082820,East Midlands,25-34,24,English,0
CUST0119013,London,18-24,73,Punjabi,0
CUST0151182,London,35-44,68,English,0
CUST0054677,Yorkshire,25-34,18,English,0
CUST0171285,Wales,25-34,103,English,0
CUST0145823,West Midlands,55-64,31,English,0
CUST0094619,Scotland,25-34,3,English,0
CUST0031526,West Midlands,45-54,44,English,1
CUST0092513,London,25-34,5,English,0
CUST0149143,Scotland,25-34,64,English,0
CUST0191847,Scotland,18-24,23,English,0
CUST0098340,North West,35-44,61,English,0
CUST0001501,North West,45-54,17,English,0
CUST0079788,South West,25-34,14,English,0
CUST0076273,East Midlands,45-54,42,English,0
CUST0160577,Yorkshire,25-34,37,English,0
CUST0019344,Scotland,55-64,33,English,0
CUST0131021,South East,45-54,18,English,0
CUST0122345,South East,55-64,52,English,0
CUST0185039,Yorkshire,35-44,73,English,0
CUST0139418,London,25-34,95,English,0
CUST0183942,South West,25-34,18,English,0
CUST0054143,Scotland,25-34,64,English,0
CUST0105353,East Midlands,45-54,58,English,0
CUST0165568,West Midlands,25-34,18,English,0
CUST0094380,London,55-64,44,English,0
CUST0167313,North West,45-54,14,Welsh,0
CUST0121842,London,35-44,35,English,0
CUST0131588,Northern Ireland,25-34,60,English,0
CUST0087539,Yorkshire,35-44,35,English,0
CUST0062623,West Midlands,65+,11,English,0
CUST0119432,Scotland,25-34,29,English,0
CUST0169724,London,25-34,61,English,0
CUST0136026,South East,35-44,37,English,0
CUST0168105,London,45-54,56,Polish,0
CUST0076988,London,18-24,52,English,0
CUST0089571,South East,35-44,74,English,0
CUST0083036,East Midlands,25-34,9,Polish,0
CUST0081254,West Midlands,45-54,65,English,0
CUST0092221,Scotland,45-54,70,English,0
CUST0189073,South East,25-34,61,English,0
CUST0017214,London,65+,81,English,0
CUST0109809,North West,25-34,80,English,0
CUST0000910,East Midlands,55-64,16,English,0
CUST0193288,Wales,45-54,36,English,0
CUST0157895,Yorkshire,45-54,25,English,0
CUST0012285,,35-44,35,English,0
CUST0182453,Scotland,55-64,44,English,0
CUST0152997,South East,45-54,33,English,0
CUST0096488,Scotland,18-24,7,English,0
CUST0167744,West Midlands,45-54,50,English,0
CUST0194425,South West,65+,23,English,0
CUST0019211,West Midlands,25-34,66,English,0
CUST0093387,South East,35-44,9,English,0
CUST0138228,South East,55-64,29,English,0
CUST0175423,Scotland,25-34,8,English,0
CUST0155852,London,18-24,26,English,0
CUST0061057,East Midlands,55-64,50,English,0
CUST0022367,West Midlands,45-54,13,English,0
CUST0124818,North West,65+,32,English,0
CUST0090253,London,55-64,13,English,0
CUST0021156,East Midlands,45-54,18,English,0
CUST0128868,Yorkshire,55-64,39,English,0
CUST0000656,West Midlands,35-44,47,English,0
CUST0019003,West Midlands,45-54,51,English,0
CUST0161254,West Midlands,65+,32,English,0
CUST0142242,London,35-44,15,English,0
CUST0044809,West Midlands,25-34,26,English,0
CUST0006989,London,25-34,76,English,0
CUST0153233,West Midlands,45-54,29,English,0
CUST0078166,South West,25-34,51,English,0
CUST0105636,Scotland,35-44,28,English,0
CUST0068693,London,25-34,6,English,0
CUST0182140,Yorkshire,25-34,9,English,1
CUST0022846,North West,45-54,11,English,0
CUST0141409,West Midlands,25-34,43,English,0
CUST0154470,Scotland,18-24,29,English,0
CUST0086302,Yorkshire,55-64,59,English,0
CUST0027339,London,45-54,37,Romanian,0
CUST0028822,London,55-64,59,English,0
CUST0053198,South West,45-54,84,English,0
CUST0052281,South East,35-44,14,English,0
CUST0155666,North West,35-44,27,English,0
CUST0011739,South East,35-44,39,English,0
CUST0063285,East Midlands,35-44,40,English,0
CUST0107075,East Midlands,35-44,28,English,0
CUST0088666,South West,45-54,46,English,0
CUST0084419,Yorkshire,45-54,7,English,0
CUST0192580,Northern Ireland,25-34,19,English,0
CUST0073895,East Midlands,25-34,37,English,0
CUST0033044,West Midlands,55-64,18,English,0
CUST0053754,London,35-44,53,English,0
CUST0134536,London,45-54,56,English,0
CUST0138587,London,55-64,17,English,0
CUST0079500,South West,55-64,31,English,0
CUST0082161,West Midlands,45-54,17,Polish,0
CUST0022470,South East,35-44,40,English,0
CUST0127510,South West,45-54,65,English,0
CUST0147924,London,35-44,34,English,0
CUST0078265,West Midlands,35-44,22,English,0
CUST0056988,South West,25-34,7,English,0
CUST0037753,East Midlands,65+,70,English,0
CUST0055407,London,25-34,59,English,0
CUST0151689,Northern Ireland,65+,52,English,0
CUST0102614,East Midlands,35-44,32,English,0
CUST0091466,London,25-34,39,English,0
CUST0143837,South East,35-44,6,English,0
CUST0087849,East Midlands,18-24,18,Welsh,0
CUST0010800,Wales,45-54,29,English,0
CUST0081286,London,55-64,39,English,0
CUST0142058,Wales,55-64,79,English,0
CUST0075787,North West,35-44,40,English,0
CUST0062834,North West,55-64,17,English,0
CUST0093107,East Midlands,25-34,29,Polish,0
CUST0100140,Scotland,45-54,11,English,0
CUST0139119,North West,35-44,23,English,0
CUST0158711,Yorkshire,35-44,22,English,0
CUST0078023,East Midlands,25-34,87,English,0
CUST0004399,North West,45-54,20,English,0
CUST0098725,West Midlands,25-34,13,English,0
CUST0030158,East Midlands,35-44,12,English,0
CUST0101467,West Midlands,35-44,31,English,0
CUST0039648,North West,45-54,18,Romanian,0
CUST0031403,North West,45-54,95,English,0
CUST0199457,West Midlands,65+,23,English,0
CUST0001258,South East,45-54,11,English,0
CUST0137860,East Midlands,25-34,64,English,0
CUST0155394,Scotland,55-64,24,English,0
CUST0184413,North West,55-64,5,English,0
CUST0109402,Yorkshire,18-24,24,English,0
CUST0009703,North West,18-24,27,English,0
CUST0141240,East Midlands,45-54,44,English,0
CUST0099100,East Midlands,25-34,13,English,0
CUST0074710,North West,35-44,14,English,0
CUST0121938,North West,55-64,11,English,0
CUST0113182,Wales,18-24,17,English,0
CUST0035533,East Midlands,18-24,20,English,0
CUST0006110,North West,35-44,10,English,0
CUST0130255,South East,45-54,4,English,0
CUST0003945,North West,35-44,50,English,0
CUST0177002,North West,25-34,91,English,0
CUST0186680,South East,35-44,55,English,0
CUST0190352,North West,35-44,19,English,0
CUST0022388,West Midlands,25-34,21,English,0
CUST0185073,South East,25-34,69,Urdu,1
CUST0067296,London,25-34,15,English,0
CUST0159105,North West,25-34,74,English,0
CUST0096915,East Midlands,55-64,21,English,0
CUST0161641,East Midlands,25-34,56,English,0
CUST0168692,East Midlands,55-64,30,English,0
CUST0042231,Scotland,18-24,11,English,0
CUST0037354,Yorkshire,45-54,53,English,0
CUST0094529,North West,18-24,86,English,0
CUST0138522,South East,55-64,7,English,0
CUST0015325,West Midlands,55-64,12,English,0
CUST0177380,Northern Ireland,25-34,23,English,0
CUST0121752,Yorkshire,35-44,8,English,0
CUST0026173,West Midlands,25-34,69,English,0
